Object/29,ID,RA,DEC,F444W,F770W,mag_F444W,mag_F770W,Radius_Sersic,Flux_MeerKAT Sigma_MeerKAT 3Sigma_MeerKAT,Flux_LBand Sigma_LBand 3Sigma_LBand,Flux_SBand Sigma_SBand 3Sigma_SBand,Flux_VLA3GHz Sigma_VLA3GHz 3Sigma_VLA3GHz,Flux_CHAMPS Sigma_CHAMPS 3Sigma_CHAMPS
1/29,17338,149.82683569809996,2.239004985418153,0.20052205199586753,0.2342946496398508,25.644660271743444,25.475659694413597,0.0010656398591385287,1.08e-05 2.49e-06 7.47e-06,,6.96e-07 3.81e-07 1.14e-06,5.74e-06 2.13e-06 6.39e-06,0.000292 0.000134 0.000403
2/29,26910,149.82087368650718,2.3072505667597074,0.12662401871763,0.15007428171289572,26.143775390323277,25.959299938762047,0.001160956313350818,4.03e-06 2.84e-06 8.52e-06,3.22e-06 1.45e-06 4.36e-06,8.02e-07 4.27e-07 1.28e-06,6.75e-06 2.36e-06 7.08e-06,0.000335 0.000109 0.000326
3/29,56404,149.9092201531014,2.211260309855647,0.10076183018165465,0.136100640153968,26.3918255043314,26.065415202464894,0.025113830516076945,3.94e-06 2.76e-06 8.28e-06,2.82e-06 1.45e-06 4.35e-06,1.04e-06 4.25e-07 1.27e-06,6.71e-06 2.26e-06 6.79e-06,0.000335 0.000115 0.000345
4/29,79810,150.03934322071012,2.0513789117892474,0.04447942427745147,0.11591194256159724,27.279667729059014,26.239745161764922,0.001432685596072706,1.3e-05 3.62e-06 1.09e-05,,5.25e-07 4.29e-07 1.29e-06,5.54e-06 2.39e-06 7.16e-06,0.000234 0.000129 0.000388
5/29,92586,150.0634409585068,2.1355793869079496,0.17241303683716977,0.2724357077957394,25.80864036861296,25.311905548813996,0.0008793998726179789,4.71e-06 4.54e-06 1.36e-05,,5.5e-07 4.65e-07 1.39e-06,4.68e-06 2.25e-06 6.75e-06,0.000222 9.65e-05 0.00029
6/29,96066,150.10211693540722,2.1438619448165754,0.07328120801314074,0.15532497901129322,26.737584072532417,25.921962363282375,0.0025192915077558897,3.13e-06 3.43e-06 1.03e-05,,1.06e-06 4.63e-07 1.39e-06,3.93e-06 2.43e-06 7.28e-06,0.000305 0.000149 0.000446
7/29,136802,150.30549848651455,2.07055799651549,0.20053206897835485,0.33735969817924366,25.644606035669145,25.079832623624796,0.0010640407626874243,3.32e-06 3.07e-06 9.22e-06,,1.02e-06 4.34e-07 1.3e-06,8.03e-06 2.28e-06 6.83e-06,0.00017 8.47e-05 0.000254
8/29,167591,150.39058346454934,1.9956663250739928,0.16077282576792642,0.21529216767117534,25.884534009639726,25.567495046086982,0.0009513279012051563,3.95e-06 5.58e-06 1.67e-05,,5.63e-07 4.08e-07 1.22e-06,3.94e-06 2.32e-06 6.97e-06,0.000242 0.000104 0.000311
9/29,171478,150.37567939888592,2.0372106430932706,0.1724797606066568,0.9883629066776487,25.808220270462513,23.912774527440895,0.49784287046785874,1.55e-05 3.49e-06 1.05e-05,,8.8e-07 4.43e-07 1.33e-06,9.43e-06 2.24e-06 6.73e-06,0.00289 0.000126 0.000377
10/29,183201,150.34611888352774,1.9897108395654244,0.07216657206801758,0.18913424292350095,26.75422543058073,25.70814020886359,0.1991549223115869,9.04e-06 5.53e-06 1.66e-05,,8.28e-07 4.2e-07 1.26e-06,6.08e-06 2.12e-06 6.35e-06,0.00101 0.000178 0.000534
11/29,184688,150.30408375520628,2.050699963766801,0.06794222460919627,0.15042989720648622,26.819716215473214,25.956730225435667,0.03183417981791727,6.1e-05 4.77e-06 1.43e-05,,4.35e-07 3.84e-07 1.15e-06,6.19e-06 2.28e-06 6.85e-06,0.000226 0.000106 0.000319
12/29,291236,150.03861088188978,1.9900025272955901,0.13036753892734848,0.1663938265289107,26.112141954753344,25.84722259915875,0.02124268724112363,7.4e-06 2.23e-06 6.69e-06,,6.09e-07 3.78e-07 1.13e-06,5.97e-06 2.39e-06 7.17e-06,0.000377 0.000141 0.000423
13/29,333050,150.20218580888553,1.9485885432311818,0.055994528853916564,0.34275769306987064,27.029701635330664,25.06259759440663,0.000826603468360534,6.78e-06 4.04e-06 1.21e-05,,,5.09e-06 2.2e-06 6.59e-06,0.000243 0.000129 0.000388
14/29,334444,150.14860950374933,1.9784870135414325,0.07480642317338823,0.16208419560525314,26.71521839804238,25.875713947222184,0.0010687260819500775,2.26e-06 2.14e-06 6.42e-06,,1.17e-06 3.99e-07 1.2e-06,5.45e-06 2.24e-06 6.71e-06,0.000272 0.000132 0.000395
15/29,369896,150.34283941911679,1.8935895158084846,0.11627387447781073,0.19916016481463886,26.236360261615687,25.652059429774248,0.08194127269507435,7.34e-06 2.78e-06 8.33e-06,,,6.85e-06 2.46e-06 7.37e-06,7.74e-05 0.000127 0.00038
16/29,384271,150.29052311415214,1.93718812123005,0.07507866054480476,0.17701628141112458,26.71127433252048,25.780032589120395,0.04039181889334189,4.26e-06 3.11e-06 9.32e-06,,,4.16e-06 2.23e-06 6.69e-06,0.000209 0.000206 0.000617
17/29,385251,149.95055964812641,2.484329732498177,0.09046782331970463,0.1995976974305085,26.508830269282942,25.64967680494133,0.010068047631953939,1.36e-05 4.65e-06 1.4e-05,4.17e-06 2.03e-06 6.09e-06,2.02e-06 6.55e-07 1.97e-06,4.46e-06 2.04e-06 6.13e-06,0.000285 0.00013 0.000389
18/29,413568,149.89414183942313,2.5148364768547156,0.04273351935444226,0.155318018258031,27.32314396985107,25.922011020692306,0.0005549975535649446,4.5e-06 2.9e-06 8.7e-06,2.96e-06 1.67e-06 5.02e-06,9.45e-07 5.05e-07 1.52e-06,6.47e-06 2.32e-06 6.96e-06,0.000308 0.000126 0.000379
19/29,488601,150.31030969291845,2.5353817649528327,0.08212756698529115,0.1786346313032481,26.61384322948138,25.770151477419496,0.0007907370867862182,5.86e-06 3.48e-06 1.04e-05,4.44e-06 1.81e-06 5.44e-06,1.35e-06 5.58e-07 1.67e-06,2.6e-06 2.31e-06 6.93e-06,
20/29,543040,150.41034818930308,2.3200253918482336,0.09493721324106447,0.18565800092053905,26.456474423738715,25.728281447631204,0.0009227936310218909,8.08e-06 4.08e-06 1.23e-05,,7.43e-07 4.75e-07 1.42e-06,5.6e-06 2.31e-06 6.94e-06,0.000495 0.000193 0.000579
21/29,577470,149.91747250905001,2.290411232880424,0.0977658652433456,0.20772795736119176,26.424597501778813,25.606328245766324,0.0006156400978015555,3.62e-06 4.13e-06 1.24e-05,1.91e-06 1.58e-06 4.75e-06,8.68e-07 4.22e-07 1.27e-06,3.44e-06 2.15e-06 6.44e-06,0.000426 0.00017 0.000511
22/29,634457,149.96486797815328,2.359212163617769,0.12688058677729713,0.10892773605961337,26.14157767619549,26.307219428771273,0.03489329739336422,7.36e-06 3.18e-06 9.55e-06,4.33e-06 1.61e-06 4.82e-06,1.14e-06 4.83e-07 1.45e-06,7.04e-06 2.44e-06 7.33e-06,0.000426 0.000166 0.000497
23/29,662075,150.1219308962901,2.2031017976672245,0.1654213112285651,0.21865325192535243,25.85358697482798,25.55067577032411,0.0008791714650475016,2.3e-06 2.29e-06 6.88e-06,2.64e-06 1.51e-06 4.52e-06,5.82e-07 4.93e-07 1.48e-06,2.4e-06 2.09e-06 6.28e-06,0.000171 0.000126 0.000379
24/29,710349,150.28904878824443,2.1735924164502656,0.07095859705659677,0.13393401183359407,26.77255307142238,26.08283842777382,0.10404253506754754,4.06e-06 2.73e-06 8.2e-06,,5.4e-07 4.17e-07 1.25e-06,3.24e-06 2.19e-06 6.57e-06,0.000258 0.000143 0.000429
25/29,710864,150.24241091253117,2.193990209317292,0.08420555307515314,0.19818275707721006,26.586713790493498,25.65740095745373,0.33520272730849876,0.000133 6.01e-06 1.8e-05,3.02e-06 1.42e-06 4.27e-06,8.11e-07 4.11e-07 1.23e-06,6.94e-06 2.36e-06 7.09e-06,0.00049 0.000204 0.000613
